Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,
1121960,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
1122260,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,BF,FA,,
1122560,1BFE2217,TRUE,Rx,0,8,0,0,CD,B4,A5,0,0,0,,
1122860,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1123200,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1123500,1BFE221A,TRUE,Rx,0,8,0,A5,0,0,7E,0,0,0,,
1123840,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1124140,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
1124440,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
1124780,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
1125080,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
1125370,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1125720,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
1126010,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1126350,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
1126650,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
1126990,1BFE2239,TRUE,Rx,0,8,0,1,1,0,0,0,0,0,,
1127290,1BFE223A,TRUE,Rx,0,8,4,1,0,0,51,0,6,0,,
1127630,1BFE223B,TRUE,Rx,0,8,14,0,0,0,0,0,0,0,,
1127930,1BFE223C,TRUE,Rx,0,8,22,0,0,0,0,0,0,0,,
1128270,1BFE223D,TRUE,Rx,0,8,0,0,0,0,0,0,0,5C,,
1128620,1BFE2248,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1199910,0000038B,FALSE,Rx,0,8,0,0,0,0,0,0,0,0,,
1219790,1BFE221A,TRUE,Rx,0,8,0,A6,0,0,7E,0,0,0,,
1220090,1BFE2215,TRUE,Rx,0,8,60,97,9E,80,80,80,AA,9A,,
1220390,1BFE2216,TRUE,Rx,0,8,0,0,0,0,0,0,C0,FA,,
1220730,1BFE2217,TRUE,Rx,0,8,0,0,CD,B5,A6,0,0,0,,
1221030,1BFE2218,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1221330,1BFE2219,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1221670,1BFE221B,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1221960,1BFE221C,TRUE,Rx,0,8,0,0,3F,0,0,0,0,0,,
1222260,1BFE221E,TRUE,Rx,0,8,7D,1,0,0,0,0,0,0,,
1222600,1BFE2222,TRUE,Rx,0,8,0,0,58,0,7E,1C,0,0,,
1222900,1BFE2223,TRUE,Rx,0,8,11,1,0,0,0,0,0,0,,
1223240,1BFE2225,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1223540,1BFE2227,TRUE,Rx,0,8,0,0,0,0,0,4,0,0,,
1223880,1BFE2232,TRUE,Rx,0,8,0,0,0,0,0,0,0,0,,
1224180,1BFE2235,TRUE,Rx,0,8,81,4,0,0,0,0,0,0,,
1224520,1BFE2238,TRUE,Rx,0,8,0,0,32,0,1,1,0,0,,
